network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,KY10,Mammoth Cave National Park-Houchin Meadow,Edmonson,KY,37.1317,-86.1480,236,A,2002-08-27 05:00,
NTN,KY19,Cannons Lane,Jefferson,KY,38.2288,-85.6545,177,A,2003-10-07 05:00,
NTN,KY22,Lilley Cornett Woods,Letcher,KY,37.0778,-82.9936,335,A,1983-09-06 05:00,
NTN,KY35,Clark State Fish Hatchery,Rowan,KY,38.1183,-83.5469,204,A,1983-08-30 05:00,
NTN,KY38,Land Between the Lakes,Trigg,KY,36.7906,-88.0672,181,I,1984-10-02 05:00,1996-04-16 05:00
NTN,KY99,Mulberry Flat,Trigg,KY,36.9029,-88.0121,110,A,1994-12-27 06:00,2019-12-04 06:00
NTN,LA06,Hill Farm Research Station,Claiborne,LA,32.7514,-93.0506,88,I,1982-11-16 06:00,1988-01-26 06:00
NTN,LA12,Iberia Research Station,Iberia,LA,29.9310,-91.7165,6,A,1982-11-16 06:00,
NTN,LA30,Southeast Research Station,Washington,LA,30.7819,-90.2021,77,A,1983-01-18 06:00,
NTN,MA01,North Atlantic Coastal Lab,Barnstable,MA,41.9759,-70.0241,57,A,1981-12-15 06:00,
NTN,MA08,Quabbin Reservoir,Franklin,MA,42.3925,-72.3444,306,A,1982-03-05 06:00,
NTN,MA13,East,Middlesex,MA,42.3845,-71.2146,190,I,1982-02-02 06:00,2010-09-28 05:00
NTN,MA14,Nantucket,Nantucket,MA,41.2897,-70.1751,16,A,2014-03-04 06:00,
NTN,MA22,Boston University,Suffolk,MA,42.3501,-71.1044,32,A,2015-06-16 05:00,
NTN,MA98,Arnold Arboretum,Suffolk,MA,42.2953,-71.1340,48,A,2016-02-09 06:00,
NTN,MD03,White Rock Substation,Carroll,MD,39.4089,-76.9953,172,I,1984-10-03 05:00,2002-03-04 06:00
NTN,MD07,Catoctin Mountain Park,Frederick,MD,39.6470,-77.4848,471,I,2003-05-27 05:00,2013-06-11 05:00
NTN,MD08,Piney Reservoir,Garrett,MD,39.7053,-79.0122,769,A,2004-06-29 05:00,
NTN,MD13,Wye,Queen Annes,MD,38.9131,-76.1525,6,A,1983-03-08 06:00,
NTN,MD15,Smith Island,Somerset,MD,37.9925,-76.0345,2,A,2004-06-01 05:00,
NTN,MD18,Assateague Island National Seashore-Woodcock,Worcester,MD,38.2510,-75.1593,0,A,2000-09-05 05:00,
NTN,MD99,Beltsville,Prince Georges,MD,39.0280,-76.8171,46,A,2004-06-01 05:00,
NTN,ME00,Caribou,Aroostook,ME,46.8675,-68.0134,191,A,1980-04-14 05:00,
NTN,ME02,Bridgton,Cumberland,ME,44.1075,-70.7289,222,A,1980-09-30 05:00,
NTN,ME04,Carrabassett Valley,Franklin,ME,45.0803,-70.2118,259,A,2002-03-12 06:00,
NTN,ME08,Gilead,Oxford,ME,44.4003,-71.0098,212,A,1999-09-28 05:00,
NTN,ME09,Greenville Station,Piscataquis,ME,45.4891,-69.6647,322,A,1979-11-20 06:00,
NTN,ME94,Indian Township,Washington,ME,45.2436,-67.6308,101,A,2013-10-03 05:00,
NTN,ME95,Wolapomomqot Ciw Wocuk,Penobscot,ME,45.3406,-67.9876,182,I,2002-06-12 05:00,2006-12-12 06:00
NTN,ME96,Casco Bay-Wolfe’s Neck Farm,Cumberland,ME,43.8325,-70.0645,15,A,1998-01-06 06:00,
NTN,ME97,Presque Isle,Aroostook,ME,46.6964,-68.0332,165,I,1984-06-05 05:00,1988-09-27 05:00
NTN,ME98,Acadia National Park-McFarland Hill,Hancock,ME,44.3772,-68.2608,150,A,1981-11-10 06:00,
NTN,ME99,Acadia National Park-Paradise Hill,Hancock,ME,44.4083,-68.2461,37,I,1980-11-18 06:00,1981-11-03 06:00
NTN,MI09,Douglas Lake,Cheboygan,MI,45.5608,-84.6783,238,A,1979-07-03 05:00,
NTN,MI22,Houghton,Houghton,MI,47.2269,-88.6308,193,I,1980-10-26 05:00,1983-02-15 06:00
NTN,MI25,Isle Royale National Park-Windigo,Keweenaw,MI,47.9153,-89.1525,216,I,1980-08-12 05:00,1984-10-22 05:00
NTN,MI26,Kellogg Biological Station,Kalamazoo,MI,42.4103,-85.3928,288,A,1979-06-26 05:00,
NTN,MI29,Peshawbestown,Leelanau,MI,45.0289,-85.6292,209,I,2002-01-22 06:00,2009-03-31 05:00
NTN,MI48,Seney National Wildlife Refuge-Headquarters,Schoolcraft,MI,46.2889,-85.9504,220,A,2000-11-28 06:00,
NTN,MI51,Unionville,Tuscola,MI,43.6135,-83.3599,201,A,1999-01-26 06:00,
NTN,MI52,Ann Arbor,Washtenaw,MI,42.4164,-83.9019,267,A,1999-01-26 06:00,
NTN,MI53,Wellston,Wexford,MI,44.2242,-85.8186,292,A,1978-10-10 05:00,
NTN,MI97,Isle Royale National Park-Wallace Lake,Keweenaw,MI,48.0575,-88.6342,201,I,1985-05-22 05:00,2006-10-10 05:00
NTN,MI98,Raco,Chippewa,MI,46.3723,-84.7434,272,I,1984-05-01 05:00,2018-01-10 06:00
NTN,MI99,Chassell,Houghton,MI,47.1046,-88.5516,296,A,1983-02-15 06:00,
NTN,MN01,Cedar Creek,Anoka,MN,45.4017,-93.2031,280,A,1996-12-31 06:00,
NTN,MN05,Fond du Lac,Carlton,MN,46.7131,-92.5108,390,I,1996-11-19 06:00,2005-03-22 06:00
NTN,MN08,Hovland,Cook,MN,47.8471,-89.9650,224,A,1996-12-31 06:00,
NTN,MN16,Marcell Experimental Forest,Itasca,MN,47.5311,-93.4686,431,A,1978-07-06 05:00,
NTN,MN18,Fernberg,Lake,MN,47.9464,-91.4961,524,A,1980-11-18 06:00,
NTN,MN23,Camp Ripley,Morrison,MN,46.2494,-94.4972,410,A,1983-10-18 05:00,
NTN,MN27,Lamberton,Redwood,MN,44.2370,-95.3011,367,A,1979-01-02 06:00,
NTN,MN28,Grindstone Lake,Pine,MN,46.1217,-93.0001,350,A,1996-12-31 06:00,
NTN,MN32,Voyageurs National Park-Sullivan Bay,St. Louis,MN,48.4132,-92.8305,421,A,2000-05-30 05:00,
NTN,MN99,Wolf Ridge,Lake,MN,47.3841,-91.2067,361,A,1996-12-31 06:00,
NTN,MO03,Ashland Wildlife Area,Boone,MO,38.7540,-92.1994,257,A,1981-10-20 05:00,
NTN,MO05,University Forest,Butler,MO,36.9108,-90.3187,165,A,1981-10-27 06:00,
NTN,MO43,Tyson Research Center,St. Louis,MO,38.5185,-90.5652,174,I,2001-08-28 05:00,2008-05-07 05:00
NTN,MO50,Baker Observatory,Webster,MO,37.3986,-93.0425,415,I,1986-10-14 05:00,1988-05-10 05:00
NTN,MS10,Clinton,Hinds,MS,32.3069,-90.3186,86,A,1984-07-10 05:00,
NTN,MS12,Grand Bay NERR,Jackson,MS,30.4294,-88.4277,2,A,2010-03-09 06:00,
NTN,MS14,Meridian,Lauderdale,MS,32.3344,-88.7450,89,I,1980-04-15 05:00,1990-01-02 06:00
NTN,MS19,Newton,Newton,MS,32.3269,-89.2086,134,A,1986-11-11 06:00,
NTN,MS30,Coffeeville,Yalobusha,MS,34.0025,-89.7993,134,A,1984-07-17 05:00,
