network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,TN14,Hatchie National Wildlife Refuge,Haywood,TN,35.4688,-89.1713,117,A,1984-10-02 05:00,
NTN,TN98,Wilburn Chapel,Giles,TN,35.1825,-87.1964,302,I,1990-01-02 06:00,1996-05-07 05:00
NTN,TN99,Giles County,Giles,TN,35.2847,-86.9033,244,I,1984-10-02 05:00,1990-01-02 06:00
NTN,TX02,Muleshoe National Wildlife Refuge,Bailey,TX,33.9557,-102.7760,1144,A,1985-06-18 05:00,
NTN,TX03,Beeville,Bee,TX,28.4667,-97.7069,82,A,1984-02-07 06:00,
NTN,TX04,Big Bend National Park - K-Bar,Brewster,TX,29.3025,-103.1781,1056,A,1980-04-10 05:00,
NTN,TX10,Attwater Prairie Chicken National Wildlife Refuge,Colorado,TX,29.6614,-96.2594,54,A,1984-07-03 05:00,
NTN,TX16,Sonora,Edwards,TX,30.2613,-100.5551,696,A,1984-06-26 05:00,
NTN,TX18,Y Experimental Ranch,Foard,TX,33.9242,-100.0469,489,I,1992-06-30 05:00,1996-01-02 06:00
NTN,TX21,Longview,Gregg,TX,32.3786,-94.7117,103,I,1982-06-29 05:00,2018-02-27 06:00
NTN,TX22,Guadalupe Mountains National Park Frijole Ranger Station,Culberson,TX,31.9069,-104.8050,1705,A,1984-06-05 05:00,
NTN,TX38,Forest Seed Center,Nacogdoches,TX,31.5605,-94.8608,84,I,1981-08-18 05:00,2001-07-10 05:00
NTN,TX39,Texas A&M University-Corpus Christi,Nueces,TX,27.7125,-97.3291,5,I,2002-01-02 06:00,2006-12-26 06:00
NTN,TX43,Cañónceta,Randall,TX,34.8800,-101.6650,1057,A,2007-07-24 05:00,
NTN,TX51,Throckmorton,Throckmorton,TX,33.2733,-99.2153,425,I,1984-05-29 05:00,1992-05-19 05:00
NTN,TX53,Victoria,Victoria,TX,28.8453,-96.9203,31,I,1980-04-15 05:00,1988-09-27 05:00
NTN,TX56,L.B.J. National Grasslands,Wise,TX,33.3917,-97.6397,312,A,1983-09-20 05:00,
NTN,UT01,Logan,Cache,UT,41.6661,-111.8914,1370,A,1983-12-06 06:00,
NTN,UT02,Cedar Mountain,Emery,UT,39.1711,-110.6183,2331,I,1981-05-11 05:00,1984-01-17 06:00
NTN,UT08,Murphy Ridge,Rich,UT,41.3586,-111.0480,2146,I,1986-03-25 06:00,2012-06-26 05:00
NTN,UT09,Canyonlands National Park-Island in the Sky,San Juan,UT,38.4584,-109.8210,1797,A,1997-11-11 06:00,
NTN,UT95,East McKee,Daggett,UT,40.7543,-109.4671,2569,A,2017-12-05 06:00,
NTN,UT98,Green River,Emery,UT,39.0001,-110.1740,1256,A,1985-04-25 05:00,
NTN,UT99,Bryce Canyon National Park-Repeater Hill,Garfield,UT,37.6186,-112.1728,2477,A,1985-01-29 06:00,
NTN,VA00,Charlottesville,Albemarle,VA,38.0402,-78.5427,172,A,1984-10-02 05:00,
NTN,VA10,Mason Neck,Fairfax,VA,38.6294,-77.2047,6,I,2003-08-12 05:00,2009-07-14 05:00
NTN,VA13,Horton's Station,Giles,VA,37.3294,-80.5579,916,A,1978-07-25 05:00,
NTN,VA24,Prince Edward,Prince Edward,VA,37.1652,-78.3073,150,A,1999-01-26 06:00,
NTN,VA27,James Madison University Farm,Rockingham,VA,38.3034,-78.8178,336,I,2002-07-09 05:00,2009-06-30 05:00
NTN,VA28,Shenandoah National Park-Big Meadows,Madison,VA,38.5231,-78.4348,1072,A,1981-05-12 05:00,
NTN,VA29,Whitetop Mountain,Smyth,VA,36.6389,-81.6058,1686,I,1986-09-30 05:00,1990-09-18 05:00
NTN,VA33,Love's Mill,Washington,VA,36.7367,-81.6869,663,I,1984-10-02 05:00,1985-07-02 05:00
NTN,VA98,Harcum,Gloucester,VA,37.5312,-76.4928,13,I,2004-08-31 05:00,2011-08-29 05:00
NTN,VA99,Natural Bridge Station,Rockbridge,VA,37.6265,-79.5126,282,A,2002-07-02 05:00,
NTN,VI01,Virgin Islands National Park-Lind Point,St. John,VI,18.3362,-64.7962,56,A,1998-04-14 05:00,
NTN,VT01,Bennington,Bennington,VT,42.8761,-73.1633,305,A,1981-04-28 05:00,
NTN,VT99,Underhill,Chittenden,VT,44.5283,-72.8684,399,A,1984-06-12 05:00,
NTN,WA14,Olympic National Park-Hoh Ranger Station,Jefferson,WA,47.8597,-123.9325,182,A,1980-05-20 05:00,
NTN,WA15,Sullivan Lake,Pend Oreille,WA,48.8433,-117.2839,796,I,1984-05-08 05:00,1987-11-24 06:00
NTN,WA19,North Cascades National Park-Marblemount Ranger Station,Skagit,WA,48.5403,-121.4460,124,A,1984-02-07 06:00,
NTN,WA21,La Grande,Pierce,WA,46.8353,-122.2867,617,A,1984-04-24 05:00,
NTN,WA24,Palouse Conservation Farm,Whitman,WA,46.7606,-117.1847,766,A,1985-08-20 05:00,
NTN,WA98,Columbia River Gorge,Skamania,WA,45.5694,-122.2100,233,A,2002-05-07 05:00,
NTN,WA99,Mount Rainier National Park-Tahoma Woods,Pierce,WA,46.7582,-122.1243,424,A,1999-10-26 05:00,
NTN,WI06,UW Arboretum,Dane,WI,43.0410,-89.4280,265,A,2019-02-11 06:00,
NTN,WI08,Brule River,Douglas,WI,46.7466,-91.6055,207,A,2014-04-22 05:00,
NTN,WI09,Popple River,Florence,WI,45.7964,-88.3994,421,I,1986-12-30 06:00,2013-12-31 06:00
NTN,WI10,Potawatomi,Forest,WI,45.5648,-88.8083,570,A,2005-06-07 05:00,
NTN,WI19,Marinette,Marinette,WI,45.0698,-87.6290,,A,2020-07-14 05:00,
NTN,WI25,Suring,Oconto,WI,45.0520,-88.3726,262,I,1985-01-23 06:00,2013-12-31 06:00
NTN,WI28,Lake Dubay,Portage,WI,44.7073,-89.7716,385,I,1982-06-29 05:00,2013-12-31 06:00
NTN,WI31,Devil's Lake,Sauk,WI,43.4352,-89.6801,389,A,2014-01-07 06:00,
NTN,WI32,Middle Village,Shawano,WI,44.9308,-88.7550,319,I,2002-01-22 06:00,2006-03-28 06:00
NTN,WI35,Perkinstown,Taylor,WI,45.2064,-90.5978,472,A,1999-01-26 06:00,
NTN,WI36,Trout Lake,Vilas,WI,46.0512,-89.6541,509,A,1980-01-22 06:00,
NTN,WI37,Spooner,Washburn,WI,45.8228,-91.8744,331,A,1980-06-03 05:00,
NTN,WI97,Lac Courte Oreilles Reservation,Sawyer,WI,45.9944,-91.3711,418,I,2001-11-27 06:00,2005-03-22 06:00
NTN,WI98,Wildcat Mountain,Vernon,WI,43.7023,-90.5685,386,I,1989-08-01 05:00,2013-12-31 06:00
NTN,WI99,Lake Geneva,Walworth,WI,42.5792,-88.5006,288,I,1984-06-05 05:00,2013-12-31 06:00
NTN,WV04,Babcock State Park,Fayette,WV,37.9796,-80.9525,753,A,1983-09-06 05:00,
NTN,WV05,Cedar Creek State Park,Gilmer,WV,38.8794,-80.8476,210,A,1999-01-26 06:00,
NTN,WV18,Parsons,Tucker,WV,39.0897,-79.6622,505,A,1978-07-05 05:00,
NTN,WV99,Canaan Valley Institute,Tucker,WV,39.1191,-79.4522,988,A,2019-08-27 05:00,
NTN,WY00,Snowy Range,Albany,WY,41.3762,-106.2600,3269,A,1986-04-22 05:00,
NTN,WY02,Sinks Canyon,Fremont,WY,42.7336,-108.8498,2164,A,1984-08-21 05:00,
NTN,WY06,Pinedale,Sublette,WY,42.9290,-109.7875,2388,A,1982-01-26 06:00,
NTN,WY08,Yellowstone National Park-Tower Falls,Park,WY,44.9166,-110.4203,1912,A,1980-06-05 05:00,
NTN,WY94,Grand Tetons National Park,Teton,WY,43.8333,-110.7008,2105,A,2011-09-27 05:00,
NTN,WY95,Brooklyn Lake,Albany,WY,41.3647,-106.2408,3181,A,1992-09-22 05:00,
NTN,WY96,Nash Fork,Albany,WY,41.3403,-106.1908,2856,I,1986-11-18 06:00,1992-09-17 05:00
NTN,WY97,South Pass City,Fremont,WY,42.4944,-108.8320,2524,A,1985-04-30 05:00,
NTN,WY98,Gypsum Creek,Sublette,WY,43.2227,-109.9917,2428,A,1984-12-26 06:00,
NTN,WY99,Newcastle,Weston,WY,43.8730,-104.1917,1466,A,1981-08-11 05:00,
